16290	NEXT FUNDS TOPIX-17 COMMERCIAL & WHOLESALE TRADE ETF	0109	014	
162A0	AI Select Megatrend Japan Equity Net Return ETN	0109	023	
16300	NEXT FUNDS TOPIX-17 RETAIL TRADE ETF	0109	014	
16310	NEXT FUNDS TOPIX-17 BANKS ETF	0109	014	
16320	NEXT FUNDS TOPIX-17 FINANCIALS (EX BANKS) ETF	0109	014	
16330	NEXT FUNDS TOPIX-17 REAL ESTATE ETF	0109	014	
163A0	Semiconductor Focus Japan Equity Net Return ETN	0109	023	
164A0	Applepark.CO.,LTD.	0105	011	
16510	iFreeETF TOPIX High Dividend Yield 40 Index	0109	014	
16520	iFreeETF MSCI Japan Empowering Women Index (WIN)	0109	014	
16530	iFreeETF MSCI Japan ESG Select Leaders Index	0109	014	
16540	iFreeETF FTSE JPX Blossom Japan Index	0109	014	
16550	iShares S&P 500 ETF	0109	014	
16560	iShares Core 7-10 Year US Treasury Bond ETF	0109	014	
16570	iShares Core MSCI Kokusai ETF	0109	014	
16580	iShares Core MSCI Emerging Markets IMI ETF	0109	014	
16590	iShares US REIT ETF	0109	014	
16600	MAXIS High Yield J-REIT ETF	0109	014	
16620	Japan Petroleum Exploration Co.,Ltd.	0111	011	
16630	K&O Energy Group Inc.	0111	011	
166A0	TASUKI Holdings Inc.	0111	011	
16710	Simplex WTI ETF	0109	014	
16720	WisdomTree Physical Gold Individual Securities	0109	023	
16730	WisdomTree Physical Silver Individual Securities	0109	023	
16740	WisdomTree Physical Platinum Individual Securities	0109	023	
16750	WisdomTree Physical Palladium Individual Securities	0109	023	
16760	WisdomTree Physical Precious Metals Basket Securities	0109	023	
16770	Listed Index Fund International Bond (FTSE WGBI) Monthly Dividend Payment Type	0109	014	
16780	NEXT FUNDS Nifty 50 Linked Exchange Traded Fund	0109	014	
16790	Simple-X NY Dow Jones Index ETF	0109	014	
167A0	Ryoyo Ryosan Holdings,Inc.	0111	011	
16800	Listed Index Fund International Developed Countries Equity (MSCI-KOKUSAI)	0109	014	
16810	Listed Index Fund International Emerging Countries Equity (MSCI EMERGING)	0109	014	
16840	WisdomTree Broad Commodities	0109	023	
16850	WisdomTree Energy	0109	023	
16860	WisdomTree Industrial Metals	0109	023	
16870	WisdomTree Agriculture	0109	023	
16880	WisdomTree Grains	0109	023	
16890	WisdomTree Natural Gas	0109	023	
168A0	itamiarts inc.	0113	011	
16900	WisdomTree WTI Crude Oil	0109	023	
16910	WisdomTree Gasoline	0109	023	
16920	WisdomTree Aluminium	0109	023	
16930	WisdomTree Copper	0109	023	
16940	WisdomTree Nickel	0109	023	
16950	WisdomTree Wheat	0109	023	
16960	WisdomTree Corn	0109	023	
16970	WisdomTree Soybeans	0109	023	
16980	Listed Index Fund Japan High Dividend (TSE Dividend Focus 100)	0109	014	
16990	NEXT FUNDS NOMURA Crude Oil Long Index Linked Exchange Traded Fund	0109	014	
170A0	SMT ETF Japan Equity Income Strategy Active	0109	014	
17110	SDS HOLDINGS Co.,Ltd.	0112	011	
17160	DAI-ICHI CUTTER KOGYO K.K.	0112	011	
17170	Meiho Facility Works Ltd.	0112	011	
17180	MIKIKOGYO CO.,LTD.	0112	011	
17190	HAZAMA ANDO CORPORATION	0111	011	
171A0	ZEROJAPAN.Co.,Ltd	0105	011	
17200	TOKYU CONSTRUCTION CO., LTD.	0111	011	
17210	COMSYS Holdings Corporation	0111	011	
17230	NIHON DENGI CO.,LTD.	0112	011	
17240	SYNCLAYER INC.	0112	011	
172A0	NEO HOME Co.,Ltd.	0105	011	
17360	OTEC CORPORATION	0112	011	
173A0	Hammock Inc.	0113	011	
17580	Taiyo Kisokogyo Co.,Ltd.	0112	011	
175A0	Will Smart Co.,LTD.	0113	011	
17620	TAKAMATSU CONSTRUCTION GROUP CO.,LTD.	0111	011	
17640	KUDO CORPORATION	0112	011	
17660	TOKEN CORPORATION	0111	011	
17680	SONEC CORPORATION	0112	011	
17700	FUJITA ENGINEERING CO.,LTD.	0112	011	
17730	YTL Corporation Berhad	0111	021	
177A0	Kohjin Bio Co.,Ltd.	0113	011	
17800	YAMAURA CORPORATION	0111	011	
17830	Fantasista Co.,Ltd.	0112	011	
17860	Oriental Shiraishi Corporation	0111	011	
17870	Nakabohtec Corrosion Protecting Co.,Ltd.	0112	011	
17880	SANTO CORPORATION	0112	011	
178A0	Global X Innovative Bluechip Top 10+ ETF	0109	014	
17930	OHMOTO GUMI CO.,LTD.	0112	011	
17950	MASARU CORPORATION	0112	011	
17980	MORIYA CORPORATION	0112	011	
17990	DAIICHI KENSETSU CORPORATION	0112	011	
179A0	Global X 25+ Year T-Bond ETF (JPY Hedged)	0109	014	
18010	TAISEI CORPORATION	0111	011	
18020	OBAYASHI CORPORATION	0111	011	
18030	SHIMIZU CORPORATION	0111	011	
18070	WATANABE SATO CO.,LTD.	0112	011	
18080	HASEKO Corporation	0111	011	
180A0	Global X 25+ Year T-Bond ETF	0109	014	
18100	MATSUI CONSTRUCTION CO.,LTD.	0112	011	
18110	THE ZENITAKA CORPORATION	0112	011	
18120	KAJIMA CORPORATION	0111	011	
18130	Fudo Tetra Corporation	0111	011	
18140	DAISUE CONSTRUCTION CO.,LTD.	0111	011	
18150	TEKKEN CORPORATION	0111	011	
181A0	MAXIS US Treasury Bond 1-3 Year ETF (Unhedged)	0109	014	
18200	Nishimatsu Construction Co.,Ltd.	0111	011	
18220	DAIHO CORPORATION	0112	011	
18260	Sata Construction Co.,Ltd.	0112	011	
